"","condominiumIndicator","communityRatingSystemDiscount","dateOfLoss","elevatedBuildingIndicator","latitude","longitude","locationOfContents","lowestFloorElevation","numberOfFloorsInTheInsuredBuilding","occupancyType","primaryResidence","totalAmount","totalCoverage"
"387","0","2",1995-03-09,"1",38.4,-122.3,"1",0,"1","2","1",2763.98,195000
"388","0","2",1998-02-03,"1",38.4,-122.3,"1",0,"1","2","1",171.52,210000
"389","0","2",2006-01-06,"0",39.2,-121.6,"2",0,"2","3","0",27750,200000
"391","0","2",2006-01-01,"0",39.2,-121.6,"2",0,"2","3","0",45400,150000
"392","0","2",2006-01-06,"0",39.2,-121.6,"3",0,"3","3","0",228.07,125000
"393","0","2",2006-01-01,"0",39.2,-121.6,"2",0,"2","3","0",33374.42,700000
"394","0","2",2006-01-06,"0",39.2,-121.6,"2",0,"2","3","0",27750,200000
"396","0","3",1995-01-09,"0",38.8,-121.2,"1",0,"3","2","0",411,25000
"412","0","2",1993-01-20,"0",38.3,-122.3,"2",0,"2","3","0",501,450000
"418","0","2",1995-02-14,"0",34.2,-118.1,"2",0,"2","2","0",2329,245000
"424","0","2",2018-01-09,"1",34.4,-119.6,"1",0,"3","2","1",33600,283600
"430","0","1",1995-01-10,"1",38.5,-123,"1",0,"2","2","0",2418.25,30700
"431","0","2",2005-12-31,"0",38.3,-122.3,"2",0,"2","2","1",2031.72,139300
"434","0","2",1997-01-01,"1",38.4,-122.3,"1",0,"2","2","0",1083.43,285500
"446","0","2",1998-02-16,"1",39,-122.9,"3",1328.5,"1","1","1",472.25,302500
"454","0","2",2004-12-29,"1",34,-118.7,"1",9.5,"3","2","0",8621.57,350000
"458","0","2",2002-12-15,"1",38.3,-122.3,"1",23.1,"2","2","1",317.42,169000
"459","0","2",2005-12-31,"1",38.3,-122.3,"1",23.1,"2","2","1",4058.88,202200
"461","0","2",2006-01-01,"1",38.3,-122.3,"1",0,"3","2","1",9712.21,150000
"467","0","1",2009-04-08,"0",38.1,-122.2,"1",0,"3","2","1",3038.18,42000
"468","0","1",2002-11-08,"0",37.6,-122.4,"2",0,"2","2","0",35000,35000
"494","0","1",2016-03-05,"0",38.5,-121.7,"2",0,"2","2","1",4462.4,350000
"495","0","1",1998-02-07,"0",38,-122.5,"1",0,"3","2","1",4477,350000
"503","0","2",2005-12-31,"1",38,-122.6,"1",0,"2","2","1",5197,302500
"504","0","1",1995-01-10,"0",38.8,-121.2,"1",0,"3","2","0",21927,245000
"512","0","1",2019-02-27,"0",38.4,-122.8,"2",0,"2","2","0",21098.14,535300
"514","0","1",2002-11-08,"0",37.6,-122.4,"2",0,"2","3","0",68804.63,1000000
"515","0","1",2003-04-22,"0",37.6,-122.4,"2",0,"2","3","0",333.38,1000000
"517","0","1",2005-04-28,"0",37.6,-122.4,"2",0,"2","3","0",130440.7,1000000
"519","0","2",1998-01-12,"0",39.1,-121.6,"2",0,"2","1","0",1720.06,93000
"527","0","1",2006-04-07,"0",37.4,-121,"2",0,"2","3","0",6890.96,174600
"538","0","2",2005-12-31,"0",39.1,-121.5,"2",0,"2","2","1",6129.44,210000
"546","0","2",1998-02-06,"0",33.6,-117.9,"1",0,"3","2","0",1584.9,310000
"547","0","2",1998-02-02,"1",37.4,-122.2,"2",0,"3","2","1",25371,155000
"549","0","2",2005-12-31,"0",38.3,-122.3,"2",0,"2","3","0",4732.76,90000
"550","0","2",1993-01-17,"0",33,-117,"1",0,"2","2","1",5417.91,95000
"552","0","2",1995-01-10,"0",33,-117,"1",0,"2","2","1",13825.5,112900
"558","0","2",2005-12-31,"0",38.3,-122.3,"2",0,"2","3","0",10128.82,173000
"568","0","2",2002-12-15,"0",38.3,-122.3,"2",0,"2","1","1",4998.95,76000
