"","condominiumIndicator","communityRatingSystemDiscount","dateOfLoss","elevatedBuildingIndicator","latitude","longitude","locationOfContents","lowestFloorElevation","numberOfFloorsInTheInsuredBuilding","occupancyType","primaryResidence","totalAmount","totalCoverage"
"6288","0","1",2006-10-13,"1",34.2,-117.3,"2",0,"2","2","1",4730,271000
"6293","0","2",2005-12-31,"0",38.2,-122.3,"1",0,"2","2","0",17786.22,210000
"6302","0","2",1995-03-22,"0",39.1,-122.9,"2",0,"2","2","0",67.25,25900
"6303","0","2",1995-03-22,"0",39.1,-122.9,"2",0,"2","2","0",1749.5,79200
"6352","0","1",2014-09-08,"0",33.7,-116.3,"2",0,"2","2","1",15400.5,30000
"6356","0","2",1998-03-19,"0",33.7,-117.9,"1",0,"2","2","0",422.75,307000
"6359","0","2",2018-01-09,"0",34.4,-119.6,"2",0,"2","2","0",13042.26,300000
"6362","0","1",2008-01-04,"0",38,-121.8,"3",0,"3","3","0",368.8,538300
"6363","0","1",2002-12-15,"0",38,-121.8,"3",0,"3","3","0",10768.4,552500
"6364","0","1",2005-12-31,"0",38,-121.8,"3",0,"3","3","0",3005.14,557900
"6365","0","1",2008-01-04,"0",38,-121.8,"3",0,"3","3","0",10192.2,563800
"6366","0","1",2002-12-15,"0",38,-121.8,"3",0,"3","3","0",9265.04,552500
"6367","0","1",2006-01-02,"0",38,-121.8,"3",0,"3","3","0",3666.4,557900
"6368","0","1",2008-01-04,"0",38,-121.8,"3",0,"3","3","0",7553.76,563800
"6371","0","2",2018-03-16,"0",34.1,-118.5,"3",0,"3","2","1",1001,350000
"6375","0","2",2018-01-09,"1",34.4,-119.6,"1",81.2,"3","2","1",90958.15,350000
"6377","0","2",1986-02-22,"0",39.1,-122.9,"2",0,"2","1","0",3827.8,50500
"6379","0","2",1986-02-28,"0",39,-122.9,"2",0,"2","2","0",2438.4,80000
"6396","0","1",1993-02-01,"0",39.1,-122.9,"2",0,"2","2","0",273,130000
"6402","0","2",1982-12-22,"0",39,-122.6,"2",0,"2","2","0",237,23000
"6406","0","1",1983-03-09,"0",39.1,-122.9,"2",0,"2","2","0",296.69,67000
"6407","0","1",1983-03-09,"0",39.1,-122.9,"2",0,"2","2","0",713.5,71000
"6412","0","1",1983-03-16,"0",39.1,-122.9,"3",0,"3","2","0",360,25000
"6418","0","2",1995-03-08,"0",39,-122.9,"2",0,"2","2","1",5315.25,82000
"6424","0","2",1997-01-25,"0",39,-122.7,"3",1336.3,"1","2","0",2210.13,175300
"6427","0","2",2004-10-19,"0",37,-122.1,"2",0,"2","2","1",1200,21200
"6428","0","1",2019-02-26,"1",38.5,-123,"2",51.6,"2","2","1",1315.29,273400
"6430","0","1",2017-02-06,"0",40.7,-122.4,"2",0,"2","2","1",19813.55,210000
"6432","0","2",2017-01-24,"1",34.1,-118.5,"1",0,"1","2","1",35943.49,350000
"6440","0","2",2008-01-28,"0",34.1,-118.8,"3",0,"3","2","1",4389.1,209000
"6441","0","2",2010-01-21,"0",34.1,-118.8,"3",0,"3","2","1",2582.86,305000
"6442","0","2",2019-02-02,"0",34.1,-118.8,"3",0,"3","2","1",18863.17,305000
"6446","0","2",2019-02-26,"1",39.2,-123,"1",0,"3","2","0",521.91,77300
"6453","0","2",1982-03-31,"0",39.2,-123,"1",0,"3","2","0",2080.93,18600
"6454","0","2",1980-01-11,"0",39.2,-123,"1",0,"3","2","0",342,16000
"6455","0","2",1978-01-09,"0",39.2,-123,"1",0,"3","2","0",2868.59,15000
"6469","0","1",2016-01-13,"0",37.9,-122.2,"1",0,"1","2","1",2159.44,42000
"6475","0","2",1998-08-06,"0",34.1,-119,"1",0,"1","2","1",27634.75,310000
"6516","0","1",2004-12-30,"0",34,-118.7,"3",0,"3","2","1",16245.05,350000
"6548","0","3",2005-01-10,"0",34.4,-119.3,"2",0,"2","2","0",1813.47,43500
"6554","0","2",2005-12-31,"1",38.5,-122.4,"1",0,"3","2","1",23568.04,350000
"6560","0","1",2005-12-31,"0",37.9,-122.2,"2",0,"3","2","1",1561.25,350000
"6561","0","1",1995-03-08,"1",38.5,-122.5,"1",0,"2","2","0",60001,160000
"6566","0","2",2010-01-19,"0",33.8,-116.6,"2",0,"2","2","1",1233.44,350000
"6583","0","2",2016-01-18,"0",38.3,-122.3,"2",0,"2","3","0",4550,100000
"6587","0","1",2017-03-01,"1",32.8,-117,"1",0,"3","2","1",653.32,350000
"6620","0","1",2008-08-04,"0",34.1,-116,"1",1,"2","2","1",3134.36,169000
"6625","0","2",1983-08-18,"0",32.8,-117.3,"2",16,"2","2","0",3741,63700
"6632","0","1",2008-08-04,"0",34.1,-116,"1",0.5,"2","2","0",1926.97,215500
"6639","0","4",2006-01-01,"1",38.6,-121.4,"1",79.8,"3","2","1",6508.46,350000
"6647","0","2",2002-12-16,"1",37.9,-122.1,"1",170,"1","2","1",1454.28,260500
"6651","0","2",1995-03-10,"1",34,-118.6,"1",0,"1","2","0",33402.95,245000
"6663","0","2",2005-12-31,"0",38,-122.6,"1",-3.7,"1","2","1",52690.24,350000
"6668","0","3",1997-01-26,"0",38.5,-121.5,"1",0,"3","2","1",595.4,207600
"6670","0","2",2005-12-21,"1",38,-122.6,"1",-4.8,"3","2","0",62161.3,338700
"6676","0","3",2010-12-22,"0",33.7,-117.6,"1",0,"2","2","1",6312.81,350000
"6677","0","3",2019-02-27,"0",33.7,-117.6,"1",0,"2","2","1",6525.54,350000
"6683","0","2",2005-12-31,"1",38,-122.6,"1",0,"2","2","1",48421.59,350000
"6693","0","2",2005-12-31,"1",38,-122.6,"3",3.3,"3","2","1",34118.66,350000
"6703","0","2",2005-12-31,"0",38,-122.6,"1",0,"1","2","1",18803.43,350000
"6708","0","4",2005-12-31,"0",38.6,-121.4,"1",0,"3","2","1",6199,22300
"6727","0","2",1988-01-17,"0",33.2,-117.4,"3",0,"1","1","0",4730,110000
"6734","0","3",1995-03-10,"0",36.5,-121.8,"1",0,"2","2","1",10219.95,245000
"6739","1","1",2013-03-07,"0",33,-117.3,"1",0,"2","2","1",425.6,28000
"6742","0","1",2017-02-27,"1",33.1,-117.1,"1",0,"3","2","1",22004.03,350000
"6778","0","1",1998-01-12,"0",33,-117.3,"1",0,"3","2","1",200,350000
"6784","0","2",1998-01-22,"0",34.1,-118.3,"1",0,"3","2","1",4832,310000
"6792","0","1",2005-12-31,"0",37.9,-122.5,"1",0,"2","2","1",6654.75,350000
"6817","0","1",2006-01-03,"0",38.3,-122.2,"1",0,"3","2","0",6724.23,350000
"6820","0","2",2005-12-31,"1",38,-122.6,"1",0,"2","2","1",2315.2,188000
"6823","0","1",2014-09-08,"0",33.7,-116.3,"1",0,"3","2","1",1708.44,350000
"6825","0","2",1998-01-28,"0",34.1,-119,"1",0,"3","2","0",5775,150000
"6836","0","2",1980-05-01,"0",33.7,-117.4,"1",0,"1","2","0",2701,45000
"6849","0","4",1984-05-27,"0",33.7,-117.9,"1",0,"2","2","0",11600,58200
"6866","0","2",1979-07-18,"0",33.8,-116.5,"2",0,"2","2","0",400,45000
"6879","0","1",2010-12-19,"0",38,-120.5,"1",0,"3","2","1",3459.94,70000
"6912","0","2",1997-01-01,"1",38.4,-122.3,"1",0,"1","2","1",789.09,210000
"6923","0","1",2018-12-06,"1",32.8,-117,"1",0,"3","2","1",3819.58,350000
"6939","0","1",1982-04-11,"0",38.6,-121.7,"3",0,"3","2","0",2881.94,120000
"6964","0","2",1988-08-23,"0",33.8,-116.5,"2",0,"2","2","0",9241.75,25000
"6976","0","1",1997-01-01,"0",40.4,-124,"2",0,"2","2","0",3400,63400
"6984","0","2",1997-01-03,"0",39,-121.6,"2",0,"2","2","0",18000,93000
"6995","0","1",1997-01-01,"0",38.5,-123,"2",0,"3","2","0",18131.84,125900
"6997","0","2",1997-01-05,"0",39.1,-121.9,"2",0,"2","2","0",25000,125000
"6999","0","1",1997-01-01,"0",38.5,-123,"3",0,"3","1","0",249.15,125000
"7001","0","1",1998-02-04,"0",40.2,-122.2,"2",0,"2","3","0",20117.06,100000
"7007","0","1",1999-07-28,"0",34.8,-114.6,"1",0,"2","2","1",3409.32,188000
"7013","0","2",1998-02-03,"1",39.1,-122.9,"3",0,"3","1","0",2796.75,82700
"7052","0","1",2014-12-12,"0",34.2,-119,"1",0,"2","2","1",5392.84,350000
"7056","0","2",2005-12-30,"0",38,-122.6,"1",0,"3","2","1",20469.9,350000
"7071","0","2",2005-01-11,"0",33,-117,"1",0,"2","2","1",1411.46,149900
"7075","0","2",2005-12-31,"0",38,-122.6,"3",0,"1","1","1",10462,21000
"7080","0","1",2018-12-12,"0",32.6,-117.1,"1",0,"3","2","1",2600.93,350000
"7090","0","3",2010-12-22,"0",33.7,-117.6,"1",0,"3","2","1",4043.5,350000
"7099","0","2",2005-12-30,"1",38,-122.6,"1",0,"1","2","1",4988.91,350000
"7123","0","4",1997-01-03,"1",38.2,-121.6,"3",0,"3","2","0",15347.96,144900
"7126","0","1",1997-01-01,"0",39.3,-120.5,"1",0,"3","2","0",2407.04,40700
"7168","0","1",1998-02-03,"1",37.2,-122,"3",0,"3","2","1",30001,280000
"7170","1","2",1977-11-21,"0",37.8,-122.4,"1",0,"3","1","0",2438.38,10000
"7194","0","2",1998-01-31,"0",33.7,-118,"2",0,"2","2","1",377.08,165000
"7195","0","2",1998-02-03,"0",38.1,-122.8,"2",0,"2","2","1",8856.9,100000
"7212","0","1",2017-03-01,"0",39.3,-120.4,"1",0,"3","2","0",9744.66,136300
"7220","0","2",2002-12-16,"0",38.3,-122.1,"1",0,"3","2","1",3330.22,270000
"7221","0","2",2005-12-31,"0",38.3,-122.1,"1",0,"3","2","1",19600,265100
"7228","0","3",2017-02-09,"0",34.1,-118.9,"1",0,"2","2","0",1252.98,350000
"7236","0","2",1995-03-10,"0",37.1,-122.1,"1",0,"1","2","0",6000,189500
"7273","0","3",2005-01-10,"0",34.3,-119.4,"2",0,"2","2","1",25479.94,350000
"7298","0","2",1995-03-08,"0",38.8,-122.5,"2",0,"2","2","0",18001,93000
"7302","0","1",1998-01-13,"0",37.8,-122.2,"3",0,"3","2","0",375,121000
"7310","0","1",1995-03-05,"0",33.2,-117.1,"2",0,"2","2","0",2000,27000
"7321","0","3",1997-01-22,"0",38.9,-121.3,"2",0,"2","2","1",4700.23,310000
"7322","0","3",2005-12-31,"0",38.9,-121.3,"2",0,"2","2","1",11868.6,337900
"7328","0","1",2001-03-05,"0",35,-120.5,"2",0,"2","2","1",1757.2,102000
"7329","0","4",1997-01-23,"0",38.7,-121.4,"2",0,"2","2","1",6000,13000
"7331","0","4",2000-01-24,"0",38.7,-121.4,"2",0,"2","2","1",171.2,14300
"7338","0","2",1998-02-03,"0",37.2,-122.1,"1",0,"3","2","0",16500,105600
"7357","0","3",1998-06-11,"0",39.2,-120.2,"3",0,"3","2","1",4147.3,110500
"7364","0","1",2004-10-17,"0",33.8,-118,"2",0,"2","2","1",2540,250000
"7384","0","1",1998-03-29,"0",34.2,-118.8,"2",0,"2","2","0",1910,310000
"7386","0","2",2005-12-31,"0",38,-122.6,"3",0,"3","2","1",2543.54,350000
"7389","0","4",1998-02-03,"0",38.7,-121.4,"3",48.6,"3","2","1",3927.5,158000
"7399","0","2",2000-10-26,"0",37.4,-122,"2",0,"2","3","0",8967.22,125000
"7417","1","2",1997-12-05,"0",33.6,-117.8,"3",0,"1","1","0",61931.6,350000
"7418","0","4",2017-01-10,"0",38.3,-121.3,"2",0,"2","2","1",1040.08,350000
"7419","0","4",1998-02-03,"0",38.2,-121.6,"3",0,"3","2","0",26441.53,310000
"7420","0","2",1997-12-06,"0",33.8,-117.9,"3",0,"3","2","0",175,150000
"7430","0","2",1998-04-16,"0",34,-118.4,"2",0,"2","2","0",1398,188000
"7438","0","1",1998-05-13,"0",34.2,-118.2,"2",0,"2","2","0",74.37,65000
"7468","0","1",2017-02-17,"0",34.2,-118.8,"2",0,"2","2","1",21607.51,350000
"7477","0","2",2005-02-22,"0",34.1,-118.3,"2",0,"2","2","1",46.99,350000
"7488","0","3",2005-09-16,"0",34.2,-118.7,"3",0,"3","2","1",11670.3,350000
"7492","0","2",2009-02-16,"0",34.1,-118.5,"3",0,"3","2","1",35,350000
"7505","0","1",2005-12-31,"0",37.9,-122.5,"2",0,"2","1","1",50000,50000
"7536","0","4",2016-12-20,"0",38.7,-121.4,"2",0,"2","2","1",304.36,280000
"7576","0","4",1997-01-22,"0",38.6,-121.4,"2",0,"2","2","0",2401.66,173300
"7577","0","4",1997-01-26,"0",38.6,-121.4,"2",0,"2","2","0",22000,173300
"7586","0","1",2010-01-20,"0",32.8,-117.2,"2",0,"3","2","0",1403,151500
"7594","0","4",1997-01-22,"0",38.7,-121.3,"2",0,"2","2","0",15671.18,82500
"7613","0","1",1998-02-23,"0",39.1,-122.9,"1",0,"1","2","1",4846.87,75000
"7629","1","3",1998-01-27,"0",34.1,-119,"2",0,"3","1","0",882,150000
"7630","0","2",2018-04-07,"1",37.9,-122.6,"2",0,"3","1","0",12337.28,350000
"7632","0","1",1997-11-25,"0",35.4,-120.9,"2",0,"2","2","0",702.51,125000
"7635","0","1",1997-12-06,"0",33.6,-117.8,"2",0,"2","3","0",20000,20000
"7637","0","2",2005-02-21,"0",34.1,-118.3,"2",0,"2","2","1",589.53,280000
"7638","0","1",1997-12-06,"0",33.5,-117.8,"3",0,"3","2","1",4283.75,125000
"7640","0","1",1999-02-05,"0",38.9,-120,"2",0,"2","3","0",40681.42,115000
"7644","0","2",2005-02-15,"0",34.2,-118.5,"2",0,"2","2","1",3329.45,350000
"7645","0","2",2005-01-09,"0",33.8,-118.2,"2",0,"2","3","0",7008.48,27900
"7653","0","1",2001-03-05,"0",35.4,-120.6,"2",0,"2","2","1",1665.6,155000
"7667","0","1",1999-07-11,"0",34.5,-117.2,"2",0,"2","2","1",416.95,125000
"7670","0","2",2002-12-16,"0",34.1,-118.4,"2",0,"2","3","0",5241.52,30000
"7671","0","2",2002-12-15,"0",37.9,-122.1,"2",0,"2","2","1",5872.89,250000
"7672","0","2",2002-12-16,"0",34.1,-118.4,"2",0,"2","3","0",17107.77,30000
"7675","0","1",2005-01-10,"0",34.1,-118.2,"2",0,"2","2","0",1842.29,46600
"7693","0","1",2004-10-17,"0",33.7,-118.1,"2",0,"2","2","1",31401.38,250000
"7719","0","2",2017-02-10,"0",37,-121.9,"2",0,"2","2","0",2129.91,275000
"7727","0","3",2005-01-10,"0",34.3,-119.3,"2",2,"2","3","0",628.05,1000000
"7735","0","3",2005-01-11,"0",34.4,-119.2,"2",0,"2","2","0",5900,350000
"7736","0","1",2004-10-20,"0",34.2,-118.3,"2",0,"2","2","1",1475.05,250000
"7741","0","1",2008-07-20,"0",33.8,-116.5,"2",0,"2","2","0",29886.87,350000
"7748","0","2",1998-02-09,"0",34,-118.3,"2",0,"2","2","1",249.44,120000
"7758","0","1",1994-11-06,"0",37.9,-122.5,"2",0,"2","1","1",1193,283900
"7760","0","3",1997-12-06,"0",33.5,-117.7,"2",0,"2","2","0",29300,241100
"7761","0","2",2000-02-21,"0",34.4,-119.8,"2",0,"2","2","0",14889.93,176000
"7777","0","1",1997-01-04,"0",37.6,-121,"2",0,"2","2","0",2231.66,62000
"7780","0","2",1998-02-02,"0",37,-122,"1",0,"3","2","0",1758.98,117000
"7783","0","1",1998-02-03,"0",39,-122.6,"2",0,"2","2","0",10000,50000
"7784","0","2",1998-02-02,"1",38.2,-122.6,"2",0,"2","2","1",480.2,116000
"7786","0","1",1998-02-15,"1",39,-122.9,"1",1332.8,"2","2","0",14841,30000
"7788","0","2",1998-02-03,"0",37.5,-122.2,"1",0,"3","2","0",2743.88,310000
"7795","0","1",2018-11-29,"0",39.7,-121.8,"2",0,"2","2","1",11725.27,350000
"7798","0","1",1997-01-01,"0",41.6,-124.1,"2",0,"2","2","1",21518.38,134500
"7799","0","2",1998-02-02,"1",38.2,-122.6,"2",0,"2","2","0",726.92,118100
"7810","0","2",1998-02-09,"1",39,-122.7,"2",0,"2","2","1",2521.95,244700
"7811","0","1",1997-01-02,"0",39.7,-121.7,"2",0,"2","2","0",1729.02,167900
"7819","0","2",1998-02-03,"0",37.4,-122.1,"1",0,"2","2","0",15000,147300
"7830","0","2",1998-02-22,"1",39,-122.9,"2",0,"2","2","1",2082.6,211100
"7831","0","2",1998-02-21,"0",39,-122.7,"3",1330.1,"3","2","0",357.77,60000
"7832","0","2",1998-02-03,"1",37,-122,"2",0,"2","2","1",22525.35,266000
"7833","0","2",1998-02-02,"0",37,-122,"2",0,"3","2","1",16591.22,126600
"7835","0","2",1998-02-03,"1",37.4,-122.1,"2",0,"2","2","1",16600,46900
"7837","0","2",1998-02-07,"0",39,-122.9,"2",0,"2","2","1",4735,164600
"7842","0","4",1995-01-10,"0",38.7,-121.6,"3",38.6,"1","2","1",4203.19,245000
"7843","0","4",1995-03-12,"0",38.7,-121.6,"3",38.6,"1","2","1",164,245000
"7844","0","4",1997-01-01,"0",38.7,-121.6,"3",38.6,"1","2","1",24998.14,310000
"7845","0","4",1998-02-02,"0",38.7,-121.6,"3",38.6,"1","2","1",501,310000
"7847","0","2",1995-03-14,"1",39.1,-122.9,"2",1331.7,"2","2","1",3635,75000
"7862","0","4",1997-01-01,"1",38.7,-121.6,"2",0,"3","2","1",249,245000
"7863","0","3",1998-02-02,"0",36.5,-121.9,"2",0,"2","2","0",29232.31,30000
"7864","0","1",1997-01-03,"1",38.5,-123,"2",0,"2","2","0",4115.04,75000
"7867","0","2",1997-01-03,"0",39.1,-121.6,"2",0,"2","2","0",25821.79,145400
"7869","0","4",1997-01-06,"1",38.2,-121.6,"2",12.8,"2","2","1",22990.06,100900
"7875","0","4",1995-01-11,"0",38.7,-121.3,"2",0,"2","2","0",12467,192000
"7889","0","1",1996-12-31,"0",40.2,-122.1,"2",0,"2","2","0",6438.59,93000
"7890","0","1",1998-02-03,"0",40.2,-122.1,"2",0,"2","2","0",189,203700
"7899","0","2",1998-02-04,"1",39.1,-121.5,"2",64.9,"2","2","1",1187.07,106000
"7904","0","2",1998-02-02,"1",37.1,-122.1,"3",265.3,"3","2","1",48900,130300
"7906","0","1",1998-02-03,"0",40.1,-122.1,"2",0,"2","2","1",2168.41,83800
"7910","0","4",1998-02-03,"0",38.6,-121.4,"2",0,"2","2","1",2548.75,188000
"7915","0","2",1998-02-02,"1",37,-122,"3",0,"1","2","1",1513.88,172800
"7920","0","2",1998-02-03,"0",38.2,-122.6,"2",0,"2","2","1",1294.61,149000
"7925","0","4",1997-01-03,"0",38.2,-121.6,"2",0,"2","2","0",32829.45,141000
"7928","0","4",1997-01-03,"1",38.2,-121.6,"2",0,"2","2","1",3595.5,95800
"7931","0","1",1995-03-10,"0",40,-121,"2",1.3,"2","2","1",7866.7,115000
"7932","0","1",1997-01-01,"0",40,-121,"2",1.3,"2","2","1",28425.69,115000
"7933","0","2",1998-02-02,"0",38.2,-122.6,"2",0,"2","2","0",8362.1,100000
"7935","0","1",1995-03-09,"1",38.5,-122.5,"2",0,"2","2","0",1993.5,300000
"7937","0","2",1997-01-02,"0",39,-121.6,"2",0,"2","2","1",18001,93000
"7938","0","1",1997-01-01,"0",41.8,-123.4,"2",1085,"2","2","0",3414.03,189500
"7940","0","2",1997-01-01,"0",38.9,-121.8,"2",0,"2","2","0",500,240000
"7941","0","2",1995-03-10,"0",36.8,-119.6,"2",0,"2","2","0",26300,136300
"7948","0","2",1996-12-30,"0",39.2,-123,"3",0,"3","2","0",10482.97,13700
"7952","0","2",1997-01-01,"0",38.4,-122.4,"2",0,"2","2","0",535.34,117000
"7953","0","2",1998-02-03,"0",38.4,-122.4,"2",0,"2","2","0",1380.45,128400
"7971","0","3",1995-03-11,"0",38.5,-121.4,"2",0,"2","2","0",19274.2,70000
"7975","0","3",1997-01-02,"0",38.6,-121.5,"2",36,"2","2","1",1461.52,186000
"7992","0","2",1997-01-02,"0",39.1,-121.6,"2",0,"2","1","1",2408.16,125000
"7993","0","2",1998-02-03,"1",37,-122,"1",0,"3","2","0",8577.33,99000
"7994","0","1",1998-02-22,"1",39.1,-122.9,"3",1331,"3","2","1",1236.5,133500
"8003","0","1",1998-02-03,"0",39.1,-122.9,"2",0,"2","2","0",2932.79,65000
"8006","0","1",1998-02-06,"1",38,-122.5,"2",0,"2","2","1",232.29,200000
"8012","0","2",1998-02-06,"1",37.9,-122.5,"2",0,"3","2","1",5660.56,200000
"8014","0","1",1998-02-03,"0",39.3,-121.7,"2",0,"2","2","1",3250.97,155000
"8017","0","1",1997-01-01,"0",40.1,-120.9,"3",0,"3","2","0",13172.31,126000
"8018","0","1",1997-01-01,"0",41.8,-123.1,"3",0,"3","2","1",6319.27,159500
"8019","0","2",1998-02-02,"0",37,-122,"3",0,"3","2","1",17100,109000
"8022","0","2",1998-02-02,"1",38.1,-122.6,"1",0,"2","2","1",10488.38,240500
"8023","0","2",1995-03-10,"1",37,-122.1,"3",0,"3","2","0",2580.08,83700
"8024","0","2",1998-02-03,"1",37,-122.1,"3",0,"3","2","0",12200,88200
"8025","0","1",1997-01-01,"1",41.9,-122.8,"1",0,"1","2","0",6462.25,98000
"8027","0","1",1995-03-13,"1",39,-122.9,"2",0,"2","2","0",1391,45000
"8030","0","1",1998-02-18,"1",39,-122.9,"2",0,"2","2","0",3598.95,38300
"8031","0","1",1997-01-03,"0",37.6,-121,"2",0,"2","2","1",11491.91,62900
"8033","0","1",1995-03-09,"0",39.2,-122,"3",0,"3","2","0",3919.71,125000
"8034","0","1",1998-02-03,"0",39.2,-122,"3",0,"3","2","0",8849.37,125000
"8035","0","2",1998-02-02,"1",37.1,-122.1,"2",0,"2","2","0",15000,65000
"8036","0","2",1998-02-02,"0",38.2,-122.6,"2",0,"2","2","0",16802.85,126200
"8039","0","2",1997-01-03,"0",39,-121.6,"2",0,"2","2","0",25000,125000
"8040","0","1",1997-01-03,"0",37.6,-121,"2",0,"2","2","0",13283.8,93000
"8042","0","2",1997-01-02,"0",39.1,-121.6,"2",0,"2","2","1",26174.18,120700
"8043","0","1",1997-01-01,"1",41.7,-123.4,"1",10,"3","2","0",370.8,125000
"8045","0","3",1998-02-03,"0",36.5,-121.9,"1",0,"2","2","0",267.96,168800
"8046","0","2",1998-02-08,"1",39,-122.9,"2",0,"2","2","0",1024.71,68800
"8049","0","2",1998-02-02,"1",38.2,-122.6,"2",0,"2","2","1",710.9,134400
"8050","0","4",1998-02-03,"0",38.6,-121.4,"2",0,"3","2","1",2986.16,350000
"8052","0","2",1997-01-01,"0",39.1,-121.6,"2",0,"2","2","1",14542.48,93000
"8091","0","2",1998-02-02,"0",38.2,-122.6,"2",0,"2","2","1",6067.19,49000
"8097","0","3",1995-03-10,"0",38.6,-121.4,"2",0,"1","2","0",1238.2,156000
"8099","0","2",1995-03-13,"1",39.1,-122.9,"3",1333.5,"3","2","1",1301.6,159700
"8100","0","2",1998-02-06,"1",39.1,-122.9,"3",1333.5,"3","2","1",3461.47,206900
"8107","0","2",1998-02-11,"0",39.1,-122.9,"2",0,"2","2","0",2103,30000
"8108","0","2",1995-03-09,"0",38.9,-122.2,"1",0,"3","2","1",1222.5,113000
"8118","0","1",1996-12-31,"1",38,-122.1,"2",0,"3","2","1",6672.88,188400
"8119","0","2",1997-01-02,"1",39.1,-121.6,"2",0,"2","2","1",25001,125000
"8136","0","1",1998-02-06,"0",37.9,-122.5,"2",0,"2","3","0",22000,100000
"8164","0","2",1998-02-02,"0",38.2,-122.6,"2",0,"2","2","1",3512.35,120000
"8179","0","2",1994-11-06,"0",37.9,-122.5,"2",0,"2","3","0",9082.38,28600
"8187","0","3",1993-01-20,"0",38.6,-121.5,"2",0,"2","2","0",1776.88,105000
"8200","0","1",2005-01-11,"0",34.1,-118.8,"3",0,"3","2","1",3218.74,59900
"8204","0","1",1997-09-24,"0",33.7,-116.4,"2",0,"2","2","0",7795.32,140000
"8209","0","2",1992-12-06,"0",34.1,-118.5,"3",0,"3","2","0",5163.22,245000
"8227","0","2",2012-12-02,"0",38,-122.6,"2",0,"2","2","1",620.52,350000
"8230","0","2",2005-01-09,"0",34,-118.3,"2",2,"2","2","1",2123.86,237400
"8231","1","1",2020-04-10,"0",32.8,-117,"2",0,"2","1","1",12001,42000
"8236","0","3",2005-01-10,"0",33.7,-117.6,"2",0,"2","2","1",5800,255800
"8240","0","2",2014-12-12,"0",34.1,-118.4,"3",0,"3","2","1",2063.28,350000
"8242","0","1",1995-01-19,"0",33.7,-116.3,"2",0,"2","2","0",1295,245000
"8250","0","1",2018-12-07,"0",32.7,-117.1,"2",0,"2","2","0",3852.71,97800
"8251","0","1",2014-09-08,"0",33.7,-116.3,"2",0,"2","2","0",35580.9,350000
"8267","0","2",2017-02-21,"0",37.3,-121.9,"2",0,"2","2","1",25000,250000
"8269","0","1",2017-02-18,"0",39.8,-122.2,"2",0,"2","2","1",50878.98,350000
"8295","0","3",2017-02-17,"0",34.3,-119.4,"3",0,"3","2","0",1846.7,350000
"8300","0","1",2005-12-30,"0",38.5,-122.5,"2",0,"2","2","1",19091.96,280000
"8318","0","4",2017-01-12,"0",38.7,-121.6,"1",0,"3","2","0",18156.12,295300
"8319","0","2",2005-12-31,"0",38.2,-122.1,"2",10,"2","3","0",70401,424700
"8331","0","2",1997-11-13,"0",37.9,-122.5,"3",0,"3","3","0",3564.18,18000
"8333","0","1",2000-02-18,"0",37.9,-119.3,"3",0,"3","3","0",10268.17,351000
"8335","0","1",2000-02-22,"0",37.9,-119.1,"2",0,"2","3","0",1001,19100
"8336","0","1",2000-02-18,"0",37.9,-119.1,"2",0,"2","3","0",1233.87,22400
"8343","0","1",1998-02-02,"0",40.1,-122.1,"2",0,"2","2","1",702,40000
"8344","0","2",1998-02-08,"0",34.1,-118.4,"2",0,"2","2","1",2627.5,188000
"8363","0","4",1997-01-22,"0",38.8,-121.2,"2",0,"2","2","0",1921.7,240800
"8389","0","1",2014-09-08,"0",33.7,-116.3,"2",0,"2","2","0",55227.11,350000
"8415","0","3",2001-01-10,"0",34.3,-119.3,"2",0,"2","3","0",2154.28,20000
"8416","0","1",2003-12-29,"0",37.9,-122.3,"2",0,"2","2","1",1573.21,70000
"8427","0","2",2017-02-17,"0",34.8,-119,"2",0,"2","2","1",30696.74,175000
"8428","0","2",2017-02-17,"0",34.8,-119,"2",0,"2","2","1",30696.74,175000
"8432","0","2",2017-01-07,"0",37.1,-122.1,"3",0,"3","2","1",2071.09,350000
"8437","0","3",2021-10-24,"0",38.7,-121.5,"2",0,"2","2","1",1769.32,350000
"8445","0","2",2021-12-30,"0",34.1,-118.8,"3",0,"3","2","1",11906.56,305000
"8447","0","1",2017-02-18,"0",39.8,-122,"2",0,"3","1","1",7667.32,10000
"8464","0","3",1998-02-03,"0",36.5,-121.9,"3",0,"3","3","0",11934.8,34000
"8508","0","2",1995-03-09,"0",38.3,-122.3,"2",0,"2","3","0",4881.08,10500
"8514","0","2",1995-03-22,"0",39,-122.7,"2",0,"2","2","0",151,14300
"8544","0","2",2005-12-31,"0",38.1,-122.6,"2",0,"2","2","1",9967.09,312000
"8548","0","2",2002-12-16,"0",37.5,-122.2,"2",0,"2","3","0",26300,26300
"8549","0","3",2002-12-16,"0",37.9,-122.1,"2",0,"2","2","1",10142.2,328700
"8571","0","1",2005-12-31,"0",38.5,-122.5,"3",15.6,"3","2","0",7776.15,322600
"8573","0","2",2005-12-31,"0",38.3,-122.3,"2",0,"3","1","0",6200,84000
"8574","0","2",2005-12-31,"0",38.3,-122.3,"2",0,"3","1","0",6200,28200
"8577","0","2",2012-12-23,"0",37,-122,"3",0,"3","2","0",6658.81,34200
"8580","0","2",2002-12-15,"0",38.4,-122,"2",0,"3","2","1",15369.23,188000
